sale_id,sale_date,product_name,region_name,channel,quantity,unit_price,customer_age,customer_satisfaction_score,marketing_spend,discount_percent,gross_revenue,discount_amount,net_revenue
SAL-000001,2025-07-01,Smartphone,Asia Pacific,Retail Store,2,1155.64,35,3.6,0.9,22.3,2311.28,515.4154400000001,1795.86456
SAL-000002,2025-06-04,Smartphone,North America,Direct Sales,1,937.27,32,4.2,6.02,8.7,937.27,81.54248999999999,855.7275099999999
SAL-000003,2025-07-08,Laptop,Europe,Online,3,1692.09,25,3.9,8.64,0.0,5076.2699999999995,0.0,5076.2699999999995
SAL-000004,2025-07-02,Smart Watch,Asia Pacific,Online,4,355.23,68,3.6,1.19,0.0,1420.92,0.0,1420.92
SAL-000005,2025-06-03,Smart Watch,North America,Direct Sales,2,226.74,30,3.3,34.58,13.8,453.48,62.58024000000001,390.89976
SAL-000006,2025-07-22,Camera,North America,Direct Sales,1,1192.28,47,2.5,11.21,0.0,1192.28,0.0,1192.28
SAL-000007,2025-06-15,Speaker,North America,Direct Sales,2,318.68,40,4.5,76.48,0.0,637.36,0.0,637.36
SAL-000008,2025-07-24,Tablet,North America,Online,1,317.59,20,2.7,44.11,0.0,317.59,0.0,317.59
SAL-000009,2025-07-03,Tablet,Europe,Online,10,368.56,44,4.0,32.64,20.4,3685.6,751.8624,2933.7376
SAL-000010,2025-07-25,Camera,North America,Partner Channel,3,973.55,19,4.4,0.66,11.2,2920.6499999999996,327.11279999999994,2593.5371999999998
SAL-000011,2025-07-06,Headphones,Asia Pacific,Partner Channel,1,305.36,25,3.7,12.49,20.2,305.36,61.682719999999996,243.67728000000002
SAL-000012,2025-06-10,Tablet,Europe,Retail Store,1,662.58,33,,1.71,5.6,662.58,37.104479999999995,625.4755200000001
SAL-000013,2025-05-30,Smart Watch,Europe,Direct Sales,3,291.46,31,2.3,42.26,0.0,874.3799999999999,0.0,874.3799999999999
SAL-000014,2025-07-14,Speaker,North America,Online,14,130.79,48,3.6,40.7,0.0,1831.06,0.0,1831.06
SAL-000015,2025-07-17,Smart Watch,Europe,Partner Channel,2,551.65,34,4.3,1.17,0.0,1103.3,0.0,1103.3
SAL-000016,2025-07-14,Headphones,Latin America,Partner Channel,1,199.49,38,3.3,5.4,0.0,199.49,0.0,199.49
SAL-000017,2025-07-14,Headphones,North America,Direct Sales,2,91.95,40,1.9,36.42,0.0,183.9,0.0,183.9
SAL-000018,2025-07-02,Monitor,Middle East & Africa,Online,3,977.43,18,,8.38,0.0,2932.29,0.0,2932.29
SAL-000019,2025-07-27,Smart Watch,Europe,Online,2,424.3,43,3.4,6.85,7.9,848.6,67.0394,781.5606
SAL-000020,2025-06-19,Smart Watch,North America,Retail Store,6,593.54,28,4.4,19.54,0.0,3561.24,0.0,3561.24
SAL-000021,2025-07-02,Tablet,Asia Pacific,Retail Store,1,579.38,26,3.3,0.62,0.0,579.38,0.0,579.38
SAL-000022,2025-06-06,Laptop,North America,Retail Store,2,1951.86,45,2.8,2.87,18.8,3903.72,733.89936,3169.82064
SAL-000023,2025-06-30,Smart Watch,North America,Online,1,571.53,33,4.0,26.97,0.0,571.53,0.0,571.53
SAL-000024,2025-04-19,Monitor,Europe,Online,12,644.16,41,4.2,10.35,0.0,7729.92,0.0,7729.92
SAL-000025,2025-07-04,Headphones,Latin America,Partner Channel,3,304.08,45,4.8,0.88,0.0,912.24,0.0,912.24
SAL-000026,2025-07-19,Tablet,Asia Pacific,Online,2,739.13,41,3.0,0.13,0.0,1478.26,0.0,1478.26
SAL-000027,2025-07-19,Monitor,Asia Pacific,Retail Store,1,638.99,46,,4.06,11.5,638.99,73.48385,565.50615
SAL-000028,2025-05-08,Tablet,Latin America,Retail Store,3,589.78,27,3.9,6.88,0.0,1769.34,0.0,1769.34
SAL-000029,2025-07-11,Camera,Middle East & Africa,Online,1,790.38,41,4.0,39.6,15.1,790.38,119.34738,671.03262
SAL-000030,2025-06-08,Monitor,North America,Retail Store,2,594.01,25,3.9,42.32,0.0,1188.02,0.0,1188.02
SAL-000031,2025-01-26,Speaker,Europe,Online,2,465.95,36,4.2,85.02,0.0,931.9,0.0,931.9
SAL-000032,2025-01-12,Smartphone,North America,Online,3,1067.71,32,4.3,4.64,0.0,3203.13,0.0,3203.13
SAL-000033,2025-06-11,Tablet,Asia Pacific,Retail Store,1,761.69,40,3.2,69.16,0.0,761.69,0.0,761.69
SAL-000034,2025-07-20,Smartphone,Latin America,Retail Store,3,766.5,50,4.6,6.68,10.9,2299.5,250.6455,2048.8545
SAL-000035,2025-04-21,Laptop,Latin America,Direct Sales,7,2177.19,44,5.0,48.03,18.0,15240.33,2743.2594,12497.0706
SAL-000036,2025-05-18,Speaker,Latin America,Online,6,418.32,28,3.4,21.59,0.0,2509.92,0.0,2509.92
SAL-000037,2025-07-27,Monitor,Europe,Online,3,572.48,33,3.4,0.95,0.0,1717.44,0.0,1717.44
SAL-000038,2025-04-17,Monitor,North America,Retail Store,2,488.15,29,4.0,14.63,6.7,976.3,65.4121,910.8879
SAL-000039,2025-07-26,Laptop,Europe,Retail Store,1,1703.3,18,3.9,23.78,10.4,1703.3,177.1432,1526.1568
SAL-000040,2025-06-25,Headphones,North America,Direct Sales,3,77.46,44,4.2,15.78,8.5,232.38,19.7523,212.6277
SAL-000041,2025-07-19,Tablet,Europe,Retail Store,3,350.15,22,4.2,46.47,19.8,1050.4499999999998,207.98909999999998,842.4608999999998
SAL-000042,2025-06-11,Speaker,Europe,Online,3,344.69,53,3.0,0.36,0.0,1034.07,0.0,1034.07
SAL-000043,2025-07-22,Camera,North America,Partner Channel,2,473.6,35,5.0,1.03,14.8,947.2,140.18560000000002,807.0144
SAL-000044,2025-06-21,Smartphone,Europe,Online,3,455.88,56,4.4,1.16,0.0,1367.6399999999999,0.0,1367.6399999999999
SAL-000045,2025-07-01,Tablet,Europe,Partner Channel,1,575.52,26,4.2,0.73,0.0,575.52,0.0,575.52
SAL-000046,2025-05-29,Camera,Europe,Direct Sales,2,442.42,18,4.5,30.92,0.0,884.84,0.0,884.84
SAL-000047,2025-06-23,Laptop,Middle East & Africa,Online,3,1727.55,41,3.1,1.85,11.4,5182.65,590.8221,4591.827899999999
SAL-000048,2025-04-09,Headphones,Latin America,Online,1,58.15,42,2.7,24.78,0.0,58.15,0.0,58.15
SAL-000049,2025-03-26,Tablet,Latin America,Online,1,641.04,44,3.0,41.11,0.0,641.04,0.0,641.04
SAL-000050,2024-10-23,Smart Watch,Europe,Partner Channel,4,335.68,44,3.3,19.55,13.6,1342.72,182.60992000000002,1160.11008
SAL-000051,2025-05-07,Laptop,North America,Direct Sales,1,2082.72,53,3.8,11.57,0.0,2082.72,0.0,2082.72
SAL-000052,2025-03-16,Speaker,North America,Direct Sales,1,255.68,34,3.0,89.91,24.0,255.68,61.3632,194.3168
SAL-000053,2025-06-08,Laptop,Europe,Online,13,1874.12,52,2.6,34.9,0.0,24363.559999999998,0.0,24363.559999999998
SAL-000054,2025-04-26,Camera,North America,Retail Store,4,1663.39,38,3.3,8.74,0.0,6653.56,0.0,6653.56
SAL-000055,2025-03-20,Smartphone,North America,Online,3,615.82,45,4.4,2.67,0.0,1847.46,0.0,1847.46
SAL-000056,2025-07-24,Headphones,North America,Partner Channel,7,295.34,32,4.0,0.89,0.0,2067.3799999999997,0.0,2067.3799999999997
SAL-000057,2024-11-13,Speaker,Europe,Partner Channel,3,249.71,30,4.6,0.87,0.0,749.13,0.0,749.13
SAL-000058,2025-04-30,Tablet,Europe,Direct Sales,3,535.04,37,3.0,0.34,14.4,1605.12,231.13728,1373.98272
